id,lat,long,date,weekday,time,priority
1,32.5149,-117.0382,1/28/2014,Martes,06:45:00 pm,4
2,32.5149,-117.0382,1/28/2014,Martes,03:45:00 pm,NaN
3,32.5149,-117.0382,1/28/2014,Martes,09:40:00 am,4
5,32.5149,-117.0382,01/01/2014,Miercoles,06:51:00 am,4
6,32.5149,-117.0382,01/01/2014,Miercoles,08:36:00 am,4
7,32.5149,-117.0382,01/01/2014,Miercoles,10:30:00 am,NaN
8,32.5149,-117.0382,01/01/2014,Miercoles,12:53:00 pm,NaN
9,32.5149,-117.0382,01/01/2014,Miercoles,01:54:00 pm,2
10,32.5149,-117.0382,01/01/2014,Miercoles,03:45:00 pm,4
11,32.5149,-117.0382,01/01/2014,Miercoles,04:12:00 pm,4
12,32.5149,-117.0382,01/01/2014,Miercoles,05:24:00 pm,4
13,32.5149,-117.0382,01/01/2014,Miercoles,06:33:00 pm,4
14,32.5149,-117.0382,01/01/2014,Miercoles,07:39:00 pm,4
15,32.5149,-117.0382,01/01/2014,Miercoles,09:50:00 pm,4
17,32.5149,-117.0382,01/02/2014,Jueves,11:43:00 pm,2
18,32.5149,-117.0382,01/02/2014,Jueves,01:52:00 am,3
19,32.4697,-116.9554,01/02/2014,Jueves,05:59:00 am,3
21,32.5149,-117.0382,01/02/2014,Jueves,09:00:00 am,3
22,32.5149,-117.0382,01/01/2014,Miercoles,09:45:00 am,NaN
23,32.5149,-117.0382,01/01/2014,Miercoles,06:01:00 pm,NaN
24,32.5149,-117.0382,01/02/2014,Jueves,10:19:00 am,4
25,32.5149,-117.0382,01/02/2014,Jueves,10:28:00 am,2
26,32.5149,-117.0382,01/01/2014,Miercoles,08:01:00 am,4
27,32.5062,-117.0506,01/01/2014,Miercoles,08:03:00 pm,4
28,32.5149,-117.0382,01/02/2014,Jueves,01:15:00 am,3
29,32.5149,-117.0382,01/01/2014,Miercoles,09:14:00 am,4
30,32.5149,-117.0382,01/02/2014,Jueves,08:47:00 am,4
31,32.5149,-117.0382,01/01/2014,Miercoles,09:27:00 pm,4
32,32.5149,-117.0382,01/01/2014,Miercoles,11:30:00 am,1
33,32.5149,-117.0382,01/02/2014,Jueves,04:00:00 pm,4
34,32.5149,-117.0382,01/02/2014,Jueves,07:12:00 pm,4
35,32.5149,-117.0382,01/02/2014,Jueves,05:36:00 pm,2
36,32.5149,-117.0382,01/01/2014,Miercoles,12:21:00 am,4
37,32.5149,-117.0382,01/01/2014,Miercoles,07:10:00 am,4
38,32.5149,-117.0382,01/02/2014,Jueves,12:05:00 am,4
39,32.5149,-117.0382,01/02/2014,Jueves,02:20:00 pm,4
40,32.5149,-117.0382,01/02/2014,Jueves,08:30:00 am,NaN
41,32.5149,-117.0382,01/02/2014,Jueves,07:06:00 am,4
42,32.5149,-117.0382,01/02/2014,Jueves,08:28:00 am,4
43,32.5149,-117.0382,01/02/2014,Jueves,11:02:00 am,4
44,32.5149,-117.0382,01/02/2014,Jueves,10:05:00 am,4
45,32.5149,-117.0382,01/02/2014,Jueves,12:21:00 pm,NaN
46,32.5149,-117.0382,01/02/2014,Jueves,03:02:00 pm,4
47,32.5149,-117.0382,01/02/2014,Jueves,06:43:00 pm,4
48,32.5149,-117.0382,01/02/2014,Jueves,07:59:00 pm,NaN
49,32.5149,-117.0382,01/02/2014,Jueves,07:56:00 pm,1
50,32.5149,-117.0382,01/03/2014,Viernes,12:24:00 am,4
51,32.5149,-117.0382,01/03/2014,Viernes,02:13:00 am,4
53,32.5149,-117.0382,01/02/2014,Jueves,09:22:00 am,4
57,32.5149,-117.0382,01/02/2014,Jueves,03:02:00 pm,3
58,32.5149,-117.0382,01/02/2014,Jueves,03:02:00 pm,3
59,32.5149,-117.0382,01/02/2014,Jueves,05:43:00 pm,4
61,32.5149,-117.0382,01/03/2014,Viernes,01:53:00 am,4
62,32.5149,-117.0382,01/03/2014,Viernes,04:42:00 am,4
64,32.5149,-117.0382,01/02/2014,Jueves,09:00:00 am,4
65,32.5149,-117.0382,01/03/2014,Viernes,04:41:00 am,4
66,32.5149,-117.0382,01/02/2014,Jueves,09:18:00 pm,4
67,32.5149,-117.0382,01/03/2014,Viernes,01:39:00 am,4
70,32.5149,-117.0382,01/02/2014,Jueves,07:38:00 pm,4
72,32.5149,-117.0382,01/02/2014,Jueves,01:44:00 pm,4
73,32.5149,-117.0382,01/02/2014,Jueves,06:52:00 am,4
74,32.5149,-117.0382,01/02/2014,Jueves,02:19:00 pm,4
75,32.5149,-117.0382,01/02/2014,Jueves,11:45:00 pm,3
76,32.5149,-117.0382,01/02/2014,Jueves,10:07:00 am,3
77,32.5149,-117.0382,01/02/2014,Jueves,10:00:00 pm,2
78,32.5149,-117.0382,01/02/2014,Jueves,07:36:00 pm,4
79,32.5149,-117.0382,01/02/2014,Jueves,11:02:00 pm,3
80,32.5149,-117.0382,01/02/2014,Jueves,07:32:00 am,NaN
81,32.5149,-117.0382,01/02/2014,Jueves,07:06:00 am,NaN
83,32.5149,-117.0382,01/03/2014,Viernes,11:45:00 pm,4
85,32.5149,-117.0382,01/01/2014,Miercoles,10:21:00 am,NaN
91,32.5149,-117.0382,01/02/2014,Jueves,09:07:00 am,2
92,32.5149,-117.0382,01/02/2014,Jueves,07:34:00 am,4
93,32.4977,-116.8833,01/01/2014,Miercoles,10:57:00 pm,NaN
94,32.5149,-117.0382,01/01/2014,Miercoles,10:16:00 pm,NaN
95,32.5149,-117.0382,01/01/2014,Miercoles,03:15:00 pm,NaN
96,32.5058,-116.8762,01/01/2014,Miercoles,09:56:00 am,4
97,32.5149,-117.0382,01/01/2014,Miercoles,06:43:00 am,1
98,32.5149,-117.0382,01/01/2014,Miercoles,03:00:00 am,3
99,32.509,-116.8572,01/02/2014,Jueves,10:30:00 am,4
100,32.4931,-116.8321,01/03/2014,Viernes,11:48:00 am,NaN
101,32.4642,-116.9093,01/02/2014,Jueves,03:05:00 pm,4
102,32.5149,-117.0382,01/02/2014,Jueves,04:04:00 pm,4
103,32.4709,-116.8108,01/03/2014,Viernes,02:37:00 am,NaN
104,32.5425,-116.9288,01/02/2014,Jueves,09:42:00 am,4
105,32.5149,-117.0382,01/02/2014,Jueves,03:55:00 pm,4
106,32.5308,-116.8647,01/02/2014,Jueves,10:47:00 am,4
108,32.5319,-116.9303,01/02/2014,Jueves,08:57:00 am,4
109,32.5264,-117.0561,01/01/2014,Miercoles,12:59:00 am,NaN
110,32.5439,-116.9,01/01/2014,Miercoles,01:51:00 am,NaN
112,32.4731,-116.8651,01/01/2014,Miercoles,08:33:00 am,4
113,32.5149,-117.0382,01/01/2014,Miercoles,09:31:00 am,4
114,32.5149,-117.0382,01/01/2014,Miercoles,12:20:00 pm,4
115,32.5149,-117.0382,01/01/2014,Miercoles,01:02:00 pm,4
